,occ_llm
420,haradsd. sterbhus
170,f. d. slottsknekt
137,f. d. privatlar:a
538,kommissionshandl.
397,organisationschef
528,juridisk kandidat
89,flottunderofficer
328,restaurantinneh:a
532,skatteuppbordsman
517,handelsbokhaliare
433,navigationslarare
495,byggnadsverkmast.
484,inspektionskonst.
823,somnadsforlaggare
264,bryggerimaskinist
461,baning.-assistent
78,provisionsresande
412,forste kontrollor
50,landskanslivaktm.
486,soldathemsforest.
487,sparv.-kontrollor
258,tafvelkonservator
428,tradgardsarkitekt
364,rorledn.-entrepr.
347,vattenrattsdomare
283,musikstyckjunkare
51,konditoriarbetare
437,flottningsentrepr
54,kont.-skrifverska
514,reservund.-lojtn.
471,1:ste hofmarskalk
737,bevakningskontr.
294,landtm.-amanuens
556,hamnarbetskontor
561,bankokommissarie
229,glacetillverkare
613,biljettforsalj:a
778,understathallare
578,domkyrkosysslom.
474,stenhuggarforman
582,prakt. veterinar
758,2:dre stadstogde
742,svagdricksbrygg.
650,3:dje stadsfogde
498,rev.-kommissarie
666,afvittr.-landtm.
734,reservunderlojt.
380,griftegardsinsp.
739,bokauktionskomm.
735,1:ste stat.-skr.
623,f. seminarielar.
631,komministersadj.
699,flottningsforman
686,1:ste stadsfogde
365,telegrafkommiss.
396,flottn.-entrepr.
682,f. d. polismast.
683,charkuterihandi.
245,platslagarforman
97,e. O. kanslinot.
243,exekutionsvaktm.
296,gymn.-inspektris
593,v. bibliotekarie
610,antikvitetshandl
608,bitr. prov.-lak.
620,officersvolontar
733,hofratts- fiskal
648,tradgardinsfabr.
345,telefonreparator
656,stambokssekreter
720,husauktionskomm.
123,f. d. spraklar:a
236,militieombudsman
209,lok.-konstruktor
152,underoff.-korpr.
684,forsaljningschef
197,bogserbatsbefalh
749,2:dre stadsfogde
687,brefbarareforman
606,ofverstekammarj.
196,tidningskorresp.
201,f. d. flaggmask.
710,kabinettskammarh
560,forste arkivarie
765,ofverstelojinant
748,diskointekarbank
562,lasarettsunderla
745,landtbruksinstit
773,sjomansombudsman
444,f. d. stat.-karl
636,1:ste stationssk
169,f. d. komm.-kapt
555,v. haradsh. m.m.
572,landssekreterare
761,justitiekanslar.
598,1:ste tullkontr.
329,sockerbr.-kamrer
652,fastigh.-maklare
653,stilgjuteriagare
592,hotellforestand.
686,t. f. komminist.
703,fangelsedirektor
294,handelsforestan-
318,domkyrkoarkitekt
757,regem.-veterinar
777,skorstensfejarm.
667,f. d. trafikchet
779,1:e stationsskr.
762,auktionskommiss.
187,stallverksforman
633,angslupsbefalhaf
624,bitr. provinsial
721,ofverstathallare
641,bankofullmaktige
204,overretssagforer
614,expeditionssekr.
261,bibliotekskonsul
693,hospit.-sysslom.
775,skostensfejarem.
599,manufakturhandl.
284,landstingskamrer
646,f.d.stationsinsp
220,svagdr.-bryggare
763,ofverstelojtnant
387,fotografiforest.
713,f. d. bankosekr.
769,laroverkskollega
256,fiskeriintendent
754,spruabrik & mek.
696,larftskramhandl.
637,hofrattsaktuarie
898,fattigv.-forest.
920,bryggerifabrikor
678,stadsvaktmastare
642,bokaüktionskomm.
222,borstbinderimast
692,kakelugnsmakarm.
252,ackvisitionschef
714,stadstradgardsm.
705,poliskommissarie
591,polisofverkonst.
707,elektrisk montor
189,hypoteksomb.-man
174,undervisningsrad
183,fortifik.-kassor
237,mjolkdistributor
243,krim.-konst.; Kh
732,reservunderlojtn
154,flaggunder.-off.
288,ofververkmastare
743,departementsskr.
348,t. f. statssekr.
341,massagolvlaggare
751,eksinnehaf- vare
268,teaterforlaggare
658,forste hofkapell
670,assuransdirektor
14,traddragarforman
726,telegrafdirektor
577,snickerifabrikor
858,slakterifabrikor
639,bergskoleforest.
570,ang-befalhafvare
697,skorstensfej.-m.
597,e. O. hovr.-not.
680,forste intendent
694,telegrafkontroll
116,krim.-ofverkonst
603,1:ste kontrellor
770,sjukhemsforest:a
607,grossh. & konsul
312,bevakningsbefalh
219,bradgardsforest.
674,tandl.-assistent
768,instrumentmakare
673,andre stadsfogde
566,verkstadarbetare
660,kronouppb.-kassr
602,stats.-inspektor
588,kontr.-assistent
39, hamnbyggn.-chef
90,krim.-overkonst.
40,urmakeriarbetare
770,grufintressenter
766,angf.-befalhafv.
97,ofvertelegrafist
167,nederlagsforest.
202,regementssadelm.
1032,idrottsinstrukt.
267,f. d. hand.-idk.
685,kamrersassistent
738,e. 0. hovrattsn.
743,varmeledn.-insp.
565,hypoteksombudsm.
387,expeditionsbitr.
408,flottningsledare
439,vattenfabriksarb
582,forsaljn.-kontr.
383,yllefabr.-forest
81,speditionsforman
586,fattigv.-konsul.
616,byggn.-konsulent
621,hypot.-ombudsman
661,halsovardskonst.
569,distriktslandtm.
772,konservatorielar
722,f. d. slottslak.
31,generalfalttygm.
423,platslageribitr.
449,fiskeriassistent
121,e. laroverkslar.
44,blomsterforsalj.
767,kriminalassessor
166,skoarbetarforman
120,bekiadnadsforman
24,bokhandelsmedhj.
573,musikunderlojtn.
621,kontorsskritvare
269,annonsackvisitor
226,ofverkrigsfiskal
727,gymnasiiombudsm.
643,flottningskamrer
40,folkhogskollar:a
601,sjukskoterska. -
668,uppbordskommiss.
611,jarnvagsmaterial
719,forradsintendent
575,ofverkammarherre
623,rivisitionssekr.
336,chefsorganisator
480,olycksfallsinsp.
781,kassakontrollant
651,f. lansveterinar
691,f. d. landtbruk.
747,stuteriveterinar
616,bankosekreterare
327,omlastningsform.
998,matserv.-inneh:a
908,expr.-byrainneh.
807,restaurantinneh.
825,lanekont.-inneh.
826,restaurantforst.
835,serveringsinneh.
968,bokhand.-forest.
688,seminarieforest.
72,vardshusidkerska
594,kommissionshandl
930,jarnv.-kontorist
961,hamnuppsyningsm.
944,tulltillsyn.-man
68,anskaffningschef
619,statskommissarie
385,charkuteriverkm.
88,jarnv.-konduktor
753,sparbanks-kassor
698,hyreskontrollant
764,materialforvalt.
699,1:ste lifmedikus
98,forhyrningsagent
223,f. d. ofverbanm.
586,brandfors.-insp.
120,t. f. overlantm.
332,bostadsinspektr.
163,domkyrkoorganist
178,magistratsnot. V
584,forsakringsagent
760,rakenskapsforare
731,stenhuggeriagare
640,stadsdistriktsl.
585,musikund.-lojtn.
258,officersaspirant
755,landtrantmastare
716,gen.-konsulsanka
677,ministerresident
663,fonsterdekorator
546,laskdr.-fabrikor
532,telefonkassorska
512,lanstradg.-mast.
708,f. d. folkskoli.
628,distr.-landtmat.
89,marinlakarestip.
80,f. d. 1:ste sta-
664,fattigvardsinsp.
679,fidiekommissarie
295,fangvardsassist.
128,nav.-skolforest.
168,auktionsutropare
497,polisuppsyn.-man
675,inspektionskonst
642,laboratoriebitr.
658,t. f. overlarare
728,hofrattsassessor
647,kvalitetsmanager
276,byggnadssnickare
587,tradgardsmastare
759,obligationshandl
508,bokbind.-forest.
496,rorledningsentr.
1165,bosattningshandl
512,e. O. meteorolog
680,ofvervalsmastare
298,dofst.-missionar
84,verkstadsforest.
674,distr.-veterinar
756,lasarettssysslom
701,tegelbruksidkare
805,fransk undersate
559,1:ste kontrollor
690,tulluppsyningsm.
488,bilbesiktningsm.
692,elektromekaniker
622,hofmusik- handl.
681,angb.-kommission
750,marinofverlakare
709,boktryck.-taktor
264,sadelmakerifabr.
634,generalintendent
595,begravn.-entrpr.
606,restauranginneh.
17,stadsstyr.-ordf.
613,landtbr.-forest.
706,charkuterihand1.
574,planteringsinsp.
638,jarnhandelsbitr.
752,fideikommissarie
645,restaur.-forest.
16,otververkmastare
717,skatteuppbordsm.
672,handl. o. konsul
419,vattenrattssekr.
1257,instruktionssmed
99,vandringsrattare
24,stenograflarar:a
35,fralsn.-armeoft.
334,fartygsinspektor
365,tullbevakn.-chef
389,smaskollararinna
403,gransuppsyn.-man
191,ogondiagnostiker
84,urmakerifabrikor
568,provinsiallakare
153,rorledn.-entrepr
188,verkstadsmastare
712,laroverksadjunkt
576,telegrafinspekt.
219,sparv.-konduktor
277,hypoteksamanuens
331,socialfullmaktig
532,byggnadstim.-man
1153,kommunaln.-ordf.
1207,stationsinspekt.
1184,pressbyraforest.
592,fondavd.-forest.
641,t. f. overkontr.
1045,kraftverkskamrer
1033,t. f. landsfogde
245,reklamspecialist
618,bokbinderiidkare
689,riksbanksrevisor
729,handelstradgards
744,platslagaremast.
298,matareuppsattare
198,skradderitillsk.
635,skeppsfournerare
496,skofabriksforman
732,pensionatsinneh.
11,styckegodshandl.
751,mantalsassistent
662,lantbruksattache
782,f. d. kassabokh.
588,sjukhusintendent
2,automobilforsal-
364,reg.-sadelmakare
114,dofstumlararinna
408,manufakturafffar
632,navigationsskole
717,angbatsmaskinist
521,handelskonsulent
523,begravningsentr.
626,ved- & kolhandl.
375,kustuppsyningsm.
398,landtbr.-bitrade
417,larare-bokhandl.
27,glasbruksforest.
617,1:ste prov.-lak.
495,f. d. ofverkond.
247,gastgif.-forest.
496,f. d. riksdagman
153,jarnv.-kont.-skr
109,e. O. hofr'.-not
140,forsakr.-intend.
237,hemmansag.dodsbo
221,f. d. skogsforv.
195,director musices
102,slojdofverlarare
1107,stenhuggeriform.
283,konsist.-notarie
385,konditoriinneh:a
361,kyrkogardsvaktm.
660,skatt.-uppb.-man
12,fabriksskrifvare
408,skradderiforest.
649,mattekoordinator
1113,affarsinnehavare
271,elementarlarar:a
655,sparb.-kamrerare
596,provisitionsres.
565,justitieradsanka
1320,skyddshemforest.
1327,kronoskogvaktare
511,reg.-trumslagare
446,f. a. tanjunkare
564,fordelingslakare
142,ofvertradgardsm.
771,charkuterihandl.
704,kammarrattssekr.
630,fastn.-intendent
333,timmermansforman
579,kopparsl.-idkare
604,krigshofrattsrad
574,stadsdistr.-lak.
702,mantalsskrifvare
612,f. d. bruksagare
581,f. d. affarsidk.
783,stadsbyggmastare
715,justeringskontr.
583,kontorsskrifvare
662,laderhandl. anka
567,stadskomminister
424,f. d. tradg-dir.
18,pantbanksforest.
450,folkhog.-forest.
615,byggnadsingenjor
70,fornickl.-forman
341,baptistpredikant
659,blomsterarrangor
554,boktryckeriagare
64,charkuteriforman
657,kapten a angaren
746,spansk undersate
644,garfverifabrikor
1303,komm.-ordforande
124,f. d. kronkassor
41,fastighetskamrer
711,pastor primarius
384,pensionatinneh:a
70,dispaschorsbitr.
466,formanstagaranka
472,sagv.-forvaltare
441,e.o. amneslarare
488,tidningsutgivare
654,aldrehartjansten
589,boktryckeriidk:a
274,f. d. hem.-agare
609,f. d. skraddarm.
64,f. d. poliskonst
605,f. d. tjanarinna
45,sjukhussyssloman
47,e. O. larov-adj.
780,1:ste postvaktm.
537,jarnvagsbokhall.
595,bleck- och plats
627,domsverkstallare
392,radiotelegrafist
558,polisuppsyningsm
97,protokollnotarie
61,gymnasieomb.-man
724,pastoratsadjunkt
502,lanekasseforest.
563,d. kassabokhall.
397,restaurangforest
700,priv. -lararinna
741,skomakaremastare
661,palsvarufabrikor
784,forsakringsinsp.
571,hypotekskanslist
590,annonsbyrainneh.
730,e. O. hofr.=not.
526,ofverskogvaktare
776,f. d. handelsidk
676,regem.-intendent
383,chokladfabrikant
296,landstingfullm.
362,sagverksforest.
388,folkskolleinsp.
377,tradgards nast.
421,borrmaskinmast.
394,biblioteksaman.
115,konditoriforest
38,stadsdistr.-la-
946,tidn.-medarbet.
855,generallojtnant
902,hofr.-president
880,distriktskassor
363,brukstjansteman
230,skeppsbyggmast.
284,angslupsbefalh.
290,distriktslandt.
1108,postsparb.-bitr
75,l's'riktskassor
969,brukspatronanka
792,jur. utr. kand.
35,landsorg. ordf.
955,silfverarbetare
914,distr.-veterin.
1127,Soners eftertr.
501,verkstadskamrer
910,bradgardsforman
1020,f. d. grufforv.
483,konditoriinneh.
1061,distriktskamrer
871,f. d. lararinna
24,annosformedlare
93,skeppsfurnerare
987,verkstadsforman
82,tyghandtverkare
625,forv.-assistent
265,jarnhand.-bitr.
255,sjomanshussekr.
904,sparbankskassor
637,stensattn.-arb.
249,riksb.-registr.
815,lackerareverkm.
204,stadsbudsforest
331,sockerbrukstjm.
200,djurskyddsinsp.
332,metallvarufabr.
816,priv.-lararinna
794,2:dre polisint.
580,fastighetsinsp.
1082,f. d. ofverlar.
1074,prakt. arkltekt
361,generalfaltlak.
392,statsmeteorolog
102,f. d. riksarki-
912,fabr.-forestand
889,stenhuggeriidk.
793,bruksforvaltare
1118,snick.-fabrikor
238,stadsbokhaltare
47,byggn.-tim.-man
72,sadelmakeriidk.
98,byggn.-tekniker
215,maskinreparator
58,fattigv.-kamrer
358,dekorationsmal.
1000,slaktaremastare
833,yrkesinspektris
960,utrikesminister
1007,forste aktuarie
216,yrkesunderinsp.
996,forste regissor
991,bokfor- laggare
950,skraddarlarling
1053,likkistfabrikor
817,fordelningschef
254,sjukhusforest:a
132,nomadskoleinsp.
147,uppb.-assistent
959,kakelugnsmakare
162,provisionsagent
1062,riksgaldsfullm.
935,tunnbinderiidk.
1119,vardshusforest.
787,ofvertullkontr.
1095,res.-underlojtn
1143,kostymordonator
221,hamnuppbordsman
1148,tullbev.-kontr.
41,konsulsaspirant
851,ledare af frals
953,kartongfabrikor
1039,regementslakare
1101,f. possessionat
1051,distriktslandtm
160,bagerikonsulent
1139,1:ste marinlak.
227,fralsn.-officer
803,slottsbyggmast.
893,justitieradinna
689,bessemerblasare
1136,t. f. landtmat.
998,forestandarinna
820,tryckeriforest.
1052,fordeln.-lakare
155,assuransbokhall
811,garfv.-fabrikor
1049,justitieombudsm
1080,bankofullmaktig
802,skjutsentrepren
919,magasinsforest.
560,forsaml.-diakon
1058,tullofverkontr.
971,flottningsinsp.
1016,redaktionssekr.
259,vik. domverkst.
280,e.o. hovr.-not.
281,landstingssekr.
285,pensionatinneh.
972,marinintend. af
894,schweizeriidk:a
1046,teckningslarare
1055,magistratssekr.
325,rorledn.-montor
1124,haradsskrifvare
962,bataljons.-lak.
993,viktualiehandl.
202,brandfors.-dir.
790,ofverfaltlakare
1034,1:ste stations-
1138,handelskorresp.
867,f. d. president
984,kommendorkapten
1028,ofverkontrollor
981,skatteuppbordsm
875,polisofverkonst
921,smides-och mek.
926,laroverkslarare
1135,sundhetskommiss
1104,sparbanksvaktm.
1077,blecksl.-forman
810,kvarnarrendator
116,elektrotekniker
1147,forsakringstim.
1089,paraplyfabrikor
371,exekutionsbetj.
624,halsopoliskomm.
958,mjolkarrendator
1123,ortopedingenjor
1072,mejerikonsulent
1022,hembageriidkare
940,bokforlagsbitr.
223,kamrerassistent
89,marinofverkomm.
647,t.f. hovr.-not.
660,fastighetssekr.
1050,siffergranskare
1130,tulluppsyn.-man
444,fangelseforest.
1042,stat.-inspektor
591,tillsyn.-larare
151,installationsm.
535,jordbr.-intend.
804,fastighetsagare
339,angb.-maskinist
1009,f. prov.-lakare
1088,hofrattsradinna
321,overkrigsfiskal
121,barnhemsforest.
1132,stat.-skrifvare
915,handelsskollar.
916,kake.ugnsmakare
821,revisionssekir.
967,sagverksforvalt
1024,bitr. prov.-lak
808,garverifabrikor
809,auktionskommis.
1126,tastighetsagare
952,fargerifabrikor
951,f. grufforvalt.
1083,f. d. sommerska
791,fattigvardsdir.
44,tygund.-officer
975,privatassistans
391,kaffeangrostare
640,stallningsentr.
1092,gymnastiklarare
901,1:ste stadsnot.
1116,musikfanjunkare
1146,skeppsstufvaire
754,verkstadsverkm.
999,laskedrycksfabr
1031,hospitalslakare
1070,auktionsforrat.
888,gymnasimbudsman
1113,platslageriidk.
353,f. fregem.-lak.
241,konditoriverkm.
46,urmakeriforest.
864,tvatorestandare
957,styrelseledamot
1033,1:ste postv.-m.
879,andra stadsing.
830,f. d. revisions
944,auktionskommiss
1036,forste bokhall.
908,artillerikapten
432,vattenrattsing.
848,bryggeriforest.
989,fattigvardsinsp
81,byggn.-snickare
930,protokollssekr.
1120,matareinspektor
33,verkstadsdelag.
876,ofverlakare vid
986,vice haradshofd
1112,materialbokhall
1035,goss-kavajer o.
858,navigationslar.
882,fastighetsagent
928,konditoriidkare
150,tunnelsprangare
186,maskinkonsulent
865,skeppsklarerare
825,skomakareidkare
508,teaterintendent
1068,ofversattarinna
854,stationsmastare
842,ofverstekommarj
818,hembareriidkare
764,blecksl.-handl.
927,sparbanksvakim.
942,skriftstallar:a
917,vardsh.-forest.
1038,ofverbibliotek.
63,laroverkslektor
86,handarbetslar:a
111,charkuteriidk:a
113,distr.-ombudsm.
143,overtelegrafist
318,overtradgardsm.
1004,korrekturlasare
376,skradderiverkm.
213,fartygsinspekt.
256,vardebrevbarare
302,renhallningsarb
304,sparv.-kondukt.
186,procentutkorare
878,klammarrattsrád
471,kemikaliehandt.
1037,1:ste landtmat.
937,sjomarish.-omb.
1078,konstforlaggare
932,telegrafassist.
1015,kungl. hofpred.
963,justitiekanslar
242,kadettunderoff.
250,exekutionsvaktm
606,tvattinr.-inneh
613,grifteg.-forman
628,kapptillskarare
517,varvspoliskomm.
522,hotelldirektris
199,stadsunderfogde
1150,stationsforest.
369,krim.-konstapel
964,v. verkst. dir.
806,troskverksbygg.
844,regementspastor
982,landshoingsanka
505,fastigh.-forman
56,insp.-konstapel
978,skradderiidkare
925,bokhalleribitr.
925,2:dre stadsnot.
980,forsakringsdir.
819,skogsforvaltare
907,homoopatisk lak
869,gen.-majorsanka
1086,f. d. landshof.
490,automobilforest
1117,kommandorkapten
533,fangelseassist.
382,expeditionsvakt
934,kammarskrifvare
885,postofv.-kontr.
1045,auktionsnotarie
1064,generallotsdir.
1063,musikforlaggare
857,1:ste landimat.
968,hofrattsledamot
862,prakt. arkitekt
945,f. haradsdomare
59,automobilmontor
818,olserv.-forest.
862,ackumulatorarb.
797,textilfabrikant
1098,konsultansvarig
845,lasarettslakare
886,2:e lansnotarie
30,sjomanshusbitr.
31,hotellstaderska
70,kassabokhallare
826,seminarielarare
805,trafikassistent
312,domkyrkokapellm
931,lasaretsslakare
1081,tegelbruksagare
1006,platsforsaljare
1005,f. d. bibliotek
846,skorstensfejare
795,landskapsmalare
1047,charkuterihandl
477,sparvagnskontr.
1067,Iokomotivforare
872,riddarhuskamrer
386,jarnhandelsbokh
464,exekutionsbitr.
691,byggnadsnickare
669,restauranginneh
732,stadsbibliotek.
378,skatteuppb.-man
1025,kladningsmodist
1001,kammararkivarie
834,travaruhandlare
1100,generallootnant
1073,garfveriforest.
1023,distriktslakare
99,f. d. museitjm.
777,oljeslageriarb.
83,monsterriterska
843,1 :ste aktuarie
17,vattenfallsdir.
911,f. d. fabrikant
977,auktionsmaklare
918,kassaskapsfabr.
1013,prakt. tandlak.
1076,kapten-lojtnant
419,byggn.-entrepr.
956,sjomanshusombud
995,f. d. tunnb.-m.
1057,travaruexportor
1094,justitiekansler
997,manufakturhandl
1060,handelsr. m. h.
798,renhalln.-entre
839,k. kam.-musiker
1084,viktualiehand!.
399,sekretariatchef
1129,f. d. landtbruk
1107,generaldirektor
1114,handelsforest:a
811,charkuterifabr.
748,restaurantinneh
1133,hovrattsnotarie
1142,handl. och hust
27,besiktn.-rustm.
837,pappersbruksarb
936,bodforestandare
837,specerihandlare
874,skraddarmastare
1349,karnmakarforman
799,stadskamrerass.
996,stenhuggarform.
988,skrivmaskinsrep
1020,keramikfabrikor
1037,skofabriksform.
1026,mjolkhandlerska
943,tunnfabriksarb.
899,ordonnanskonst.
955,gymn.-lararinna
951,domk.-v.-pastor
894,strykinr.-inneh
872,palsdjursodlare
919,flottningsform.
966,skolforestand;a
813,ornamentsbildh.
1145,distr.-landimat
719,ladugardsforest
28,metallgj.-mast.
1018,telegrafinspekt
1087,forsakringstjm.
1041,bibl.-konsulent
883,bokbindaremast.
994,sparbankskamrer
954,forste postexp.
789,fastighetsmakl.
1044,maskinofvermont
1102,fangelsdirektor
807,skorst.-fej.-m.
849,brandstodssekr.
1075,tullpackhusinsp
163,halsovardspolis
33,kontrollforest.
983,hofrattsnotarie
433,angfarjebefalh.
652,stenhugg.-fabr.
1021,sparbanksmedlem
1069,kammarskritvare
711,dispensarskot:a
961,grossh. i gafle
1212,omnibuschauffor
1068,traddrageriarb.
3,kemikaliehandl.
1381,lagerbokhallare
1093,pensionatsinneh
1139,kustuppsyn.-man
1162,skogsbokhallare
923,spannmalshandl.
903,t. f. revisions
1334,overskogvaktare
1198,municipalkamrer
1244,automobilhandl.
1226,sanatorielakare
1264,municipallakare
1170,konfektfabrikor
3,garnisonspastor
730,fastighetskomm.
1012,kapellpredikant
1115,distriktsforest
797,f. d. godsagare
1093,telegraf- komm.
1137,konsistorienot.
1029,jarnhandelsbitr
1140,med. lic. prose
1066,tradgardsfaktor
145,pannplatslagare
853,gasverksforest.
941,folkskolelarare
1090,legationspastor
1040,1:ste intendent
605,landtbrefbarare
796,v. haradsgrefve
898,fabriksarbetare
488,maskinunderoff.
827,t. f. medicinal
535,landtbruksbitr.
939,bataljonslakare
241,brottmalsdomare
1131,droskakeriagare
445,konfektionschef
1109,generaltulldir.
905,civilkontrollor
881,hemmansag.-anka
856,seminarierektor
679,disp.-assistent
65,inspektionsass.
342,fralsningsmajor
67,f. d. satterska
86,metallsvarfvare
892,charkuterihandi
319,biblioteksbitr.
835,med. fil. kand.
938,riksbankskamrer
1085,kont.-skrifvare
504,byggnadskkontr.
497,slottsvaktmast.
840,sjomansomb.-man
292,dratselbokhall.
309,spetshandlerska
786,fordelningslak.
272,svarfvareforman
1056,forste hofmarsk
1141,kammarrattsnot.
949,barnavardsinsp.
143,f. d. bankokomm
63,litogr.-forest.
101,f. d. flaggfor-
107,kofferdistyrman
133,marinlak.-stip.
29,sparvagnsforare
148,kemigrafforest.
86,slojdinspektris
1079,handelsbokhall.
868,starbhusnotarie
850,f. d. prot.not.
900,|landtm.-fiskal
467,kronoskogsvakt.
476,lagenhetsinneh.
225,e. foredragande
680,kontrollofficer
46,f. d. akeriarb.
976,amiralitetspast
1002,skolforestandar
457,skyltuppsattare
476,bibliotekskons.
485,slakteriforest.
1019,tryckerilarling
831,ofversanglarare
1134,kommiss.-handl.
162,mjolkforsaljare
152,angkoksforest:a
182,f. d. bergsnot.
169,f. d. kyrkovard
171,f. d. handelsr.
1003,kassaforvaltare
1105,snickeriforest.
1065,expeditionschef
852,justitierádinna
105,hufvudbokforare
799,gastandarforman
785,handl. & konsul
137,f. d. polistjm.
128,f. d. landsekr.
157,f. id. dressare
145,ofvertilskarare
866,skeppmatningsof
110,understadsfogde
394,fastighetsforv.
906,kyrkogardsinsp.
268,sagbladsriktare
861,led. i bankinsp
1048,hand.-tradg.-m.
463,folkhog.-larare
59,telegraflinjem.
1027,seminarielektor
472,konsist.-pedell
947,stationsskrifv.
1026,.1:ste stations
1059,kapten-lojtnani
476,gjutgodsrensare
508,ofverelektriker
1010,overstelojtnant
1149,hofstallmastare
359,obligationschef
1030,stenh.-fabrikor
1099,f.d. trafikchef
992,bokhandelsbitr.
1014,ofverjagmastare
965,riksbankstj.-m.
913,f. d. professor
1111,skogstjansteman
943,laboratoriechef
829,forsakringschef
66,jordbruksforman
435,platslageriarb.
349,f. d. angb.-ag.
890,riksbankskassor
364,glasmasteriidk.
63,f. d. h- radsh.
895,lokomotivforare
209,tulipackhuskarl
122,hofr.-arkivarie
1125,larftskramhandl
988,mosstillskarare
32,tullpackhuskarl
100,motorbatsforare
94,e. O. kammarskr
801,2:dra stadslak.
1144,glassliperiidk.
973,handelsidkerska
909,hofratts-fiskal
1043,komministeradj.
891,fabr.-assistent
929,bitr. hosp.-lak
896,dataskyddsombud
1011,2:dre stadslak.
192,e. kassaraknare
1008,forestand:a Kl.
85,vattenrattsdom.
822,brefbararforman
985,bokbindarforman
970,lanstradgardsm.
897,forlagsbokhall.
828,kammarrattsrev.
1121,kronoarrendator
1032,jur. fil. kand.
924,provinssiallak.
990,fabr.-kassorska
873,boutredningsman
477,auktionsforratt
7,verktygshardare
11,rakensk.-forare
464,rysk medborgare
457,stadsbokhallare
448,bruksbokhallare
449,tradg.-direktor
788,telegrafkommis.
470,flottningsdir.
465,disp.-direktor
1392,skadespelerska
1278,ofverbibliotek
1320,hamntogdeinsp.
91,flaggunderoff.
1350,grundlagg.-ent
68,rorledn.-insp.
188,rorlaggn.-entr
124,sjoass.-expert
124,hufvudredaktor
177,fastigh.-forv.
1244,jarnv.-bokhall
1253,artillerikapt.
1367,stufverikassor
224,bokforl.-bitr.
33,halsovardsinsp
1251,provinsiallak.
101,vinhandelsarb.
589,snickeriforman
607,musikrecensent
597,biografinneh:a
636,forsaljn.insp.
1418,justitieradman
1386,1:ste regissor
41,vardsh.-idkare
35,bradgardsbokh.
1220,hembageriidk:a
1503,hosp.-sysslom.
1575,privatlitograt
1189,amiralitetsrad
1559,f. fargeriidk.
1573,guldsmedsfirma
1345,skradderiidk:a
1158,f. d. volontar
21,ofverskoterska
85,cykelreparator
667,svarfvaremast.
627,smidesfabrikor
1217,3:dje stadsfog
11,verktygsforman
1574,forradsforvalt
1336,bryggeridelag.
1343,bruksbokforare
1323,el. overmontor
1312,konduktorsanka
1163,med. fil. kand
272,forsakringsman
153,annonsformedl.
76,f. d. bromsare
23,skeppsm.-bokh.
463,landtbruksforv
1346,spisbrodsfabr.
1351,lantbruksinsp.
1387,handelsresande
1379,boktr.-forest.
1499,exekutionsnot.
1240,master of arts
1154,stadsveterinar
1497,landtbruksing.
43,slojdlararinna
818,kommunalkassor
1388,magistr.-sekr.
257,jarnvagskassor
260,stufveriforest
1462,kladeshandlare
1208,overkontrollor
1530,konsertmastare
1470,mjolkforsaljn.
1468,fastighetsmakl
1354,kontorsbitrade
1324,tryckeriidkare
1372,tullforvaltare
124,spinneriledare
1153,provisionsres.
1410,revisionskomm.
1427,skriftstallare
1476,ofverintendent
431,kraftverksdir.
1467,kontorsforest.
1453,bageriidkerska
500,telegrafkassor
1431,slakteriidkare
1543,radhuskanslist
271,verkst. inneh.
264,jordbruksform.
366,folkskolkamrer
1223,tillsyningsman
1374,vardsh.-forest
593,stalsmedsform.
21,bergsbruksbokh
639,ofvering.-ass.
5,verkstadsombud
1579,tullkontrollor
573,korskoleinneh.
313,hypotekskamrer
303,stenkolshandl.
1407,riddarhussekr.
1342,e. utmatn.-man
1384,instrumentmak.
598,glasmasteriidk
586,kommunalborgm.
1498,"handl., konsul"
1463,pantb.-forest.
1402,skradd.-idkare
418,konsistorieam.
1442,regementsskrif
1358,hamnuppb.-skr.
126,kemigrafforest
1376,blomsterhandl.
1422,gjuteriforest.
542,tobaksimportor
441,kemikaliehandl
1451,hofr.-aktuarie
1529,landskamrerare
1548,ofverassistent
112,bryggeriforman
217,tandsticksarb.
380,handarb.-lar:a
748,elektr.-forman
1507,professorsanka
750,fastningspolis
742,skiftesgodeman
26,diamantborrare
1403,protokollssekr
263,smaskollarar:a
1314,flottn.-forman
1405,kammarforvandt
1408,apoteksforest.
1357,skeppsstufvare
1326,folkskollarare
237,varfskontorist
479,stadshydrograf
1425,distr.-landim.
1466,kopparslag.-m.
365,rodakorssyster
388,fonsterputsare
444,byggn.snickare
421,maskinsnickare
406,tullkammarskr.
426,exekutionsbitr
275,garfveriverkm.
1329,sceninstruktor
468,superintendent
1343,bankkontrollor
1344,hofmusikhandl.
137,glasmasteriarb
600,fodoradstagare
1458,palsvaruhandl.
730,vattenbryggare
286,portfoljmakare
1247,landtm.-fiskal
1414,tegelbruksidk.
1504,finansminister
1319,fastighetsag:a
1288,f. d. musikl:a
1281,fastigh.-agare
1486,restaura- tris
255,t.f. avd.-chef
245,maskinstallare
251,kyrkodekorator
58,linoleumforman
25,landtbr.-kons.
1383,skorst.-fej.-m
1248,distriktkassor
1385,seminarierekt.
1460,krigsarkivarie
320,musikunderoff.
318,textilkonstn:a
301,platslageriarb
327,e.o. exp.-vakt
413,experimentarb.
417,isoleringsarb.
1436,handelsbokhall
156,parkettlaggare
1330,2:dre regissor
1188,kopparstickare
