parish,county
härad,Södermanlands
häradshammar,Östergötlands
haraker,Västmanlands
härberga,Östergötlands
harbo,Västmanlands
hardeberga,Skåne
hardemo,Örebro
härene,Älvsborgs
härene,Skaraborgs
harestad,Västra Götalands
harg,Uppsala
harg,Östergötlands
harg,Östergötlands
härja,Skaraborgs
härjevad,Skaraborgs
härkeberga,Uppsala
härlanda,Västra Götalands
harlösa,Skåne
härlöv,Kronobergs
härlunda,Skaraborgs
härlunda,Kronobergs
harmånger,Gävleborgs
härna,Älvsborgs
härnevi,Uppsala
härnö,Västernorrlands
härnösand,Västernorrlands
härnösands domkyrkoförsamling,Västernorrlands
härnösands hospitalsförsamling,Västernorrlands
harplinge,Hallands
harrie,Skåne
härryda,Västra Götalands
härslöv,Skåne
harstad,Östergötlands
håsjö,Jämtlands
håslöv,Skåne
hassela,Gävleborgs
hässelby,Stockholms
hässelby kbfd,Stockholms
hässelskog,Älvsborgs
hässjö,Västernorrlands
hassle,Skaraborgs
hassle-bösarp,Skåne
hässleby,Jönköpings
hässleholm,Kristianstads
hasslö,Blekinge
hasslösa,Skaraborgs
hasslöv,Hallands
hässlunda,Skåne
håstad,Skåne
hästholmen,Östergötlands
hästveda,Kristianstads
håtuna,Stockholms
haurida,Jönköpings
havdhem,Gotlands
häverö,Stockholms
haverö,Västernorrlands
hed,Västmanlands
heda,Östergötlands
hedane,Värmlands
hedared,Älvsborgs
heddinge,Skåne
hede,Västra Götalands
hede,Jämtlands
hede lappförsamling,Jämtlands
hedemora,Dalarnas
hedemora landsförsamling,Dalarnas
hedemora stadsförsamling,Dalarnas
heden,Norrbottens
hedeskoga,Skåne
hedesunda,Gävleborgs
hedvig,Östergötlands
hedvig eleonora,Stockholms
hedvig eleonora fattighus,Stockholms
hejde,Gotlands
hejdeby,Gotlands
hejnum,Gotlands
helgarö,Södermanlands
helga trefaldighet,Uppsala
helgesta,Södermanlands
helgona,Södermanlands
helgona,Östergötlands
helgum,Västernorrlands
heliga korset,Kalmar
heliga trefaldighet,Kristianstads
heliga trefaldighet,Gävleborgs
heliga trefaldighet,Uppsala
heligestad,Skaraborgs
heligkors,Skåne
hellvi,Gotlands
helne,Skåne
helsingborg,Skåne
helsingborgs garnisonsförsamling,Skåne
helsingborgs gustav adolf,Skåne
helsingborgs landsförsamling,Skåne
helsingborgs maria,Skåne
helsingborgs stadsförsamling,Skåne
hemmesdynge,Skåne
hemmesjö,Kronobergs
hemmesjö med tegnaby,Kronobergs
hemse,Gotlands
hemsjö,Älvsborgs
hemsö,Västernorrlands
herkulsberga,Uppsala
herråkra,Kronobergs
herrberga,Östergötlands
herrestad,Kristianstads
herrestad,Skåne
herrestad,Västra Götalands
herrestad,Östergötlands
herrljunga,Älvsborgs
hesselskog,Älvsborgs
hestra,Jönköpings
hidinge,Örebro
hietaniemi,Norrbottens
hillared,Älvsborgs
hille,Gävleborgs
hilleshög,Stockholms
himmeta,Västmanlands
hinneryd,Kronobergs
hishult,Hallands
hjälmseryd,Jönköpings
hjälsjöås,Jämtlands
hjälsta,Uppsala
hjälstad,Skaraborgs
hjälstaholms pastorat,Uppsala
hjärnarp,Kristianstads
hjärnskog,Värmlands
hjärpås,Skaraborgs
hjärsås,Kristianstads
hjärtlanda,Jönköpings
hjärtum,Älvsborgs
hjellby,Älvsborgs
hjo,Skaraborgs
hjo landsförsamling,Skaraborgs
hjorted,Kalmar
hjortsberga,Blekinge
hjortsberga,Kronobergs
hjortsberga med kvenneberga,Kronobergs
hjortsberga och kvenneberga,Kronobergs
hjo stadsförsamling,Skaraborgs
hjulsjö,Örebro
hoby,Blekinge
hoby,Kristianstads
hoby,Skåne
hofors,Gävleborgs
hofterup,Skåne
hög,Skåne
hög,Gävleborgs
högalid,Stockholms
höganäs,Skåne
högås,Västra Götalands
högbo,Gävleborgs
högby,Östergötlands
högby,Kalmar
hogdal,Västra Götalands
hogdal,Jämtlands
högerud,Värmlands
högestad,Skåne
hogrän,Gotlands
högsäter,Älvsborgs
högsbo,Västra Götalands
högsby,Kalmar
högseröd,Skåne
högsjö,Västernorrlands
högsrum,Kalmar
hogstad,Östergötlands
högstena,Skaraborgs
höj,Skåne
höja,Kristianstads
hökeshara,Värmlands
hökhuvud,Uppsala
hököpinge,Skåne
hol,Älvsborgs
holländsk-reformerta,Stockholms
holm,Hallands
holm,Älvsborgs
holm,Västernorrlands
holm,Uppsala
holma,Skaraborgs
holmby,Skåne
holmedal,Värmlands
holmestad,Skaraborgs
holmkyrkan eller holmförsamlingen,Stockholms
holmön,Västerbottens
holmsund,Västerbottens
hölö,Stockholms
holsljunga,Älvsborgs
hömb,Skaraborgs
höör,Skåne
hör,Skåne
höra,Skaraborgs
hörby,Skåne
höreda,Jönköpings
hörene,Skaraborgs
hörja,Kristianstads
hörken,Örebro
hörkens kbfd,Örebro
horla,Älvsborgs
horn,Skaraborgs
horn,Östergötlands
hornaryd,Kronobergs
hornborga,Skaraborgs
horndals kbfd,Dalarnas
hörnefors,Västerbottens
hörnefors-strömbäcks bruksförsamling,Västerbottens
horred,Älvsborgs
hörröd,Kristianstads
hörsne,Gotlands
hörsne med bara,Gotlands
hortlax,Norrbottens
hörtofta,Skåne
hörup,Skåne
hosjö,Dalarnas
hospitalsförsamlingen,Västra Götalands
hossmo,Kalmar
hössna,Älvsborgs
hotagen,Jämtlands
hotagens lappförsamling,Jämtlands
hov,Kristianstads
hov,Älvsborgs
hov,Östergötlands
hova,Skaraborgs
hovby,Kristianstads
hovby,Skaraborgs
hovförsamlingen,Stockholms
hovmantorp,Kronobergs
hovmantorps kbfd,Kronobergs
hovsta,Örebro
huaröd,Kristianstads
hubbo,Västmanlands
huddinge,Stockholms
huddunge,Västmanlands
hudene,Älvsborgs
hudiksvall,Gävleborgs
huggenäs,Värmlands
hulared,Älvsborgs
hullsjö,Älvsborgs
hult,Jönköpings
hulterstad,Kalmar
hultsfred,Kalmar
hultsfreds kbfd,Kalmar
hultsjö,Jönköpings
humla,Älvsborgs
humlarp,Kristianstads
hunnebostrand,Västra Götalands
hunnekulla,Skaraborgs
hunnestad,Hallands
hurud,Värmlands
hurva,Skåne
huså bruks kapellförsamling,Jämtlands
husaby,Skaraborgs
husaby-ärnavi,Uppsala
husaby aspö,Södermanlands
husaby enhörna,Stockholms
husaby gismark,Uppsala
husabytrögd,Uppsala
husby,Stockholms
husby,Stockholms
husby,Dalarnas
husby,Uppsala
husby,Uppsala
husby,Södermanlands
husby,Södermanlands
husby,Östergötlands
husby,Östergötlands
husby-ärlinghundra,Stockholms
husby-aspvid,Östergötlands
husby byringe,Södermanlands
husby kbfd,Dalarnas
husby-långhundra,Uppsala
husby-lyhundra,Stockholms
husby-oppunda,Södermanlands
husby-rekarne,Södermanlands
husby-sjuhundra,Stockholms
husby-sjutolft,Uppsala
husie,Skåne
huskvarna,Jönköpings
hyby,Skåne
hycklinge,Östergötlands
hylletofta,Jönköpings
hyllie,Skåne
hyltinge,Södermanlands
hyringa,Skaraborgs
hyssna,Älvsborgs
Idala,Hallands
Idenor,Gävleborgs
Idre,Dalarnas
Igelösa,Skåne
Igelsered,Älvsborgs
Ignaberga,Kristianstads
Ilsbo,Gävleborgs
Ilstorp,Skåne
Indal,Västernorrlands
Ingared,Älvsborgs
Ingarö,Stockholms
Ingatorp,Jönköpings
Ingelstad,Kronobergs
Ingelstorp,Skåne
Invalidkåren på Ulriksdal,Stockholms
Irsta,Västmanlands
Istorp,Älvsborgs
Istrum,Skaraborgs
Ivetofta,Kristianstads
Ivö,Kristianstads
Jäder,Södermanlands
Jakob,Stockholms
Jäla,Skaraborgs
Jällby,Älvsborgs
Jälluntofta,Hallands
Jämjö,Blekinge
Jämshög,Blekinge
Jämshögs kbfd,Blekinge
Jära,Jönköpings
Järbo,Älvsborgs
Järbo,Gävleborgs
Järeda,Kalmar
Järfälla,Stockholms
Järfälla norra kbfd,Stockholms
Järfälla södra kbfd,Stockholms
Järlåsa,Uppsala
Järn,Älvsborgs
Järna,Stockholms
Järna,Dalarnas
Järna kbfd,Dalarnas
Järnboås,Örebro
Järnskog,Värmlands
Järpås,Skaraborgs
Järrestad,Kristianstads
Järsnäs,Jönköpings
Järstad,Östergötlands
Järstorp,Jönköpings
Järvsö,Gävleborgs
Jät,Kronobergs
Jättendal,Gävleborgs
Johannes,Stockholms
Jokkmokk,Norrbottens
Jokkmokks kbfd,Norrbottens
Jönköpings hospitalsförsamling,Jönköpings
Jönköpings Kristina,Jönköpings
Jönköpings Sofia,Jönköpings
Jonsberg,Östergötlands
Jonsereds kbfd,Västra Götalands
Jonstorp,Skåne
Jörlanda,Västra Götalands
Jörn,Västerbottens
Jörns östra kbfd,Västerbottens
Jörns västra kbfd,Västerbottens
Jukkasjärvi,Norrbottens
Julita,Södermanlands
Jumkil,Uppsala
Jung,Skaraborgs
Junosuando,Norrbottens
Junsele,Västernorrlands
Kadettkåren,Stockholms
Kaga,Östergötlands
Kågedalen,Västerbottens
Kågeröd,Skåne
Kall,Jämtlands
Källa,Kalmar
Kållands-Åsaka,Skaraborgs
Källby,Skaraborgs
Kållered,Västra Götalands
Kållerstad,Jönköpings
Källeryd,Jönköpings
Kallinge kbfd,Blekinge
Källna,Kristianstads
Källsjö,Hallands
Källs-Nöbbelöv,Skåne
Källstad,Östergötlands
Källstorp,Skåne
Källstorp,Skåne
Källunga,Älvsborgs
Källunge,Gotlands
Kalmar,Uppsala
Kalmar domkyrkoförsamling,Kalmar
Kalmar landsförsamling,Kalmar
Kalmar mosaiska,Kalmar
Kalmar Sankt Johannes,Kalmar
Kalmar slottsförsamling,Kalmar
Kalmar tyska,Kalmar
Kalv,Älvsborgs
Kälvene,Skaraborgs
Kalvsvik,Kronobergs
Kalvträsk,Västerbottens
Kammarduksfabriken i Vadstena,Östergötlands
Kämpinge,Skåne
Kånna,Kronobergs
Karaby,Skaraborgs
Karbenning,Västmanlands
Kårböle,Gävleborgs
Kärda,Jönköpings
Kareby,Västra Götalands
Karesuando,Norrbottens
Käringön,Västra Götalands
Karlanda,Värmlands
Karleby,Skaraborgs
Karl Gustav,Hallands
Karl Gustav,Norrbottens
Karlsborg,Skaraborgs
Karlsborgs garnisonsförsamling,Skaraborgs
Karlsdal,Örebro
Karlshamn,Blekinge
Karlskoga,Örebro
Karlskrona Amiralitetsförsamling,Blekinge
Karlskrona fångförsamling,Blekinge
Karlskrona mosaiska,Blekinge
Karlskrona stadsförsamling,Blekinge
Karlskrona tyska,Blekinge
Karlskyrka,Stockholms
Karlslunda,Kalmar
Karlstads domkyrkoförsamling,Värmlands
Karlstads landsförsamling,Värmlands
Karlstens slottsförsamling,Västra Götalands
Karlstorp,Jönköpings
Kärna,Östergötlands
Kärnbo,Södermanlands
Karoli,Skåne
Kärråkra,Älvsborgs
Kärrbo,Västmanlands
Kärreberga,Kristianstads
Kårsta,Stockholms
Karup,Kristianstads
Kastlösa,Kalmar
Katarina,Stockholms
Katrineberg,Gävleborgs
Katrineholm,Södermanlands
Katslösa,Skåne
Kattarp,Skåne
Kättilstad,Östergötlands
Kattnäs,Södermanlands
Kattunga,Älvsborgs
Kaunisvaara kbfd,Norrbottens
Kävlinge,Skåne
Kävsjö,Jönköpings
Kengis bruksförsamling,Norrbottens
Kestad,Skaraborgs
Kiaby,Kristianstads
Kil,Örebro
Kila,Värmlands
Kila,Västmanlands
Kila,Södermanlands
Kilanda,Älvsborgs
Kimstad,Östergötlands
Kinna,Älvsborgs
Kinnared,Hallands
Kinnared,Älvsborgs
Kinnarumma,Älvsborgs
Kinne-Kleva,Skaraborgs
Kinneved,Skaraborgs
Kinne-Vedum,Skaraborgs
Kirseberg,Skåne
Kisa,Östergötlands
Kista,Stockholms
Kista kbfd,Stockholms
Kjula,Södermanlands
Kläckeberga,Kalmar
Klädesholmen,Västra Götalands
Klara,Stockholms
Klåstad,Östergötlands
Klinte,Gotlands
Klippan,Kristianstads
Klockrike,Östergötlands
Klövedal,Västra Götalands
Klövsjö,Jämtlands
Knäred,Hallands
Knästorp,Skåne
Knätte,Älvsborgs
Knislinge,Kristianstads
Knista,Örebro
Knivsta,Uppsala
Knutby,Uppsala
Köinge,Hallands
Köla,Värmlands
Kölaby,Älvsborgs
Kolbäck,Västmanlands
Kölingared,Älvsborgs
Kolmårdsroten,Östergötlands
Kolsva,Västmanlands
Kolsva norra kbfd,Västmanlands
Kolsva södra kbfd,Västmanlands
Konga,Skåne
Konradsberg,Stockholms
Konung Oscar I,Stockholms
Konungsund,Östergötlands
Konungsunds Kolmårdsrote,Östergötlands
Köping,Västmanlands
Köping,Kalmar
Köpinge,Kristianstads
Köpings landsförsamling,Västmanlands
Korpilombolo,Norrbottens
Korrektionsinrättningen,Stockholms
Korsberga,Skaraborgs
Korsberga,Jönköpings
Kortedala,Västra Götalands
Kortedala kbfd,Västra Götalands
Kräcklinge,Örebro
Kräklingbo,Gotlands
Kråkshult,Jönköpings
Kråksmåla,Kalmar
Kristberg,Östergötlands
Kristdala,Kalmar
Kristianopel,Blekinge
Kristianstads garnisonsförsamling,Kristianstads
Kristianstads Heliga Trefaldighet,Kristianstads
Kristianstads slottsförsamling,Kristianstads
Kristinehamn,Värmlands
Kristvalla,Kalmar
Krogsered,Hallands
Krokek,Östergötlands
Krokstad,Västra Götalands
Krokstrands kbfd,Västra Götalands
Kronospinnhuset,Stockholms
Kropp,Skåne
Kroppa,Värmlands
Kroppa kbfd,Värmlands
Krylbo kbfd,Dalarnas
Kuddby,Östergötlands
Kulla,Uppsala
Kulladal,Skåne
Kullerstad,Östergötlands
Kullings-Skövde,Älvsborgs
Kulltorp,Jönköpings
Kumla,Örebro
Kumla,Västmanlands
Kumla,Östergötlands
Kumlaby,Jönköpings
Kungälv,Västra Götalands
Kung Karl,Västmanlands
Kungsängen,Stockholms
Kungsåra,Västmanlands
Kungsäter,Hallands
Kungsbacka,Hallands
Kungsbacksförsamlingen,Stockholms
Kungs-Barkarö,Västmanlands
Kungshamn,Västra Götalands
Kungsholm eller Ulrika Eleonora,Stockholms
Kungs-Husby,Uppsala
Kungslena,Skaraborgs
Kurhuset,Stockholms
Kvänum,Skaraborgs
Kvarsebo,Östergötlands
Kvenneberga,Kronobergs
Kverrestad,Kristianstads
Kvibille,Hallands
Kvidinge,Kristianstads
Kviinge,Kristianstads
Kvikkjokk,Norrbottens
Kvikkjokks kbfd,Norrbottens
Kville,Västra Götalands
Kville kbfd,Västra Götalands
Kvillinge,Östergötlands
Kvinnestad,Älvsborgs
Kvistbro,Örebro
Kvistofta,Skåne
Kymbo,Skaraborgs
Kyrkås,Skaraborgs
Kyrkås,Jämtlands
Kyrketorp,Skaraborgs
Kyrkheddinge,Skåne
Kyrkhult,Blekinge
Kyrkoköpinge,Skåne
Läby,Uppsala
Lackalänga,Skåne
Läckö slottskapell,Skaraborgs
Lagfors bruksförsamling,Västernorrlands
Lagga,Uppsala
Lagmansered,Älvsborgs
Laholm,Hallands
Laholms landsförsamling,Hallands
Landa,Hallands
Landa,Älvsborgs
Landeryd,Östergötlands
Landskrona,Skåne
Landskrona garnisonsförsamling,Skåne
Landskrona slotts- och straffängelseförsamling,Skåne
Landvetter,Västra Götalands
Lane-Ryr,Västra Götalands
Långared,Älvsborgs
Långaröd,Skåne
Långaryd,Hallands
Långasjö,Kalmar
Längbro,Örebro
Långelanda,Västra Götalands
Långemåla,Kalmar
Länghem,Älvsborgs
Långholmen,Stockholms
Längjum,Älvsborgs
Längjum,Skaraborgs
Långlöt,Kalmar
Längnum,Skaraborgs
Långsele,Västernorrlands
Långserud,Värmlands
Långshyttans kbfd,Dalarnas
Långtora,Uppsala
Lanna,Skaraborgs
Länna,Stockholms
Länna,Södermanlands
Lännäs,Örebro
Lannaskede,Jönköpings
Lansjärvs kbfd,Norrbottens
Lärbro,Gotlands
Larv,Skaraborgs
Laske-Vedum,Skaraborgs
Låssa,Stockholms
Låstad,Skaraborgs
Lästringe,Södermanlands
Latikbergs kbfd,Västerbottens
Lau,Gotlands
Lavad,Skaraborgs
Laxarby,Älvsborgs
Laxsjö,Jämtlands
Leaby,Skaraborgs
Ledberg,Östergötlands
Ledsjö,Skaraborgs
Lekaryd,Kronobergs
Lekåsa,Skaraborgs
Lekeryd,Jönköpings
Leksand,Dalarnas
Leksberg,Skaraborgs
Lekvattnet,Värmlands
Lemmeströ,Skåne
Lemnhult,Jönköpings
Lena,Älvsborgs
Lena,Uppsala
Lenhovda,Kronobergs
Lerbäck,Örebro
Lerbo,Södermanlands
Lerdal,Älvsborgs
Lerdala,Skaraborgs
Lerum,Älvsborgs
Lessebo,Kronobergs
Lessebo kbfd,Kronobergs
Levene,Skaraborgs
Levide,Gotlands
Lextorp,Älvsborgs
Liared,Älvsborgs
Lid,Södermanlands
Liden,Västernorrlands
Lidhult,Kronobergs
Lidingö,Stockholms
Lidköping,Skaraborgs
Lilla Beddinge,Skåne
Lilla Harrie,Skåne
Lilla Isie,Skåne
Lilla Malma,Södermanlands
Lilla Mellösa,Södermanlands
Lilla och Stora Essingens kbfd,Stockholms
Lilla Rytterne,Västmanlands
Lilla Slågarp,Skåne
Lillhärad,Västmanlands
Lillhärdal,Jämtlands
Lillkyrka,Uppsala
Lillkyrka,Östergötlands
Lillkyrka-Ödeby,Örebro
Lima,Dalarnas
Lima kbfd,Dalarnas
Limhamn,Skåne
Limmared,Älvsborgs
Lindärva,Skaraborgs
Lindberg,Hallands
Linde,Örebro
Linde,Gotlands
Linderås,Jönköpings
Linderöd,Kristianstads
Lindesberg,Örebro
Lindome,Västra Götalands
Lingbo,Gävleborgs
Linköpings Berga,Östergötlands
Linköpings domkyrkoförsamling,Östergötlands
Linköpings Johannelund,Östergötlands
Linköpings Ryd,Östergötlands
Linköpings Sankt Lars,Östergötlands
Linköpings Skäggetorp,Östergötlands
Linneryd,Kronobergs
Linsell,Jämtlands
Lista,Södermanlands
Listerby,Blekinge
Lit,Jämtlands
Litslena,Uppsala
Livbataljonsförsamlingen,Stockholms
Livbeväringsregementet,Stockholms
Livdrabantförsamlingen,Stockholms
Livgardet till häst,Stockholms
Livregementets värvade infanteribataljon,Stockholms
Ljuder,Kronobergs
Ljung,Västra Götalands
Ljung,Älvsborgs
Ljung,Östergötlands
Ljungarum,Jönköpings
Ljungby,Kristianstads
Ljungby,Hallands
Ljungby,Kronobergs
Ljungby,Kalmar
Ljunghem,Skaraborgs
Ljunghem,Skaraborgs
Ljungsarp,Älvsborgs
Ljur,Älvsborgs
Ljusdal,Gävleborgs
Ljushult,Älvsborgs
Ljusnarsberg,Örebro
Ljusnarsbergs kbfd,Örebro
Ljusne,Gävleborgs
Ljusnedal,Jämtlands
Ljusterö,Stockholms
Ljustorp,Västernorrlands
Lockarp,Skåne
Locketorp,Skaraborgs
Lockne,Jämtlands
Locknevi,Kalmar
Löddeköpinge,Skåne
Löderup,Skåne
Lofta,Kalmar
Loftahammar,Kalmar
Lögdö bruksförsamling,Västernorrlands
Lohärad,Stockholms
Lojsta,Gotlands
Lokrume,Gotlands
Lomma,Skåne
Lommaryd,Jönköpings
Lommeland,Västra Götalands
Long,Skaraborgs
Lönneberga,Kalmar
Lönsås,Östergötlands
Lönskog,Värmlands
Los,Gävleborgs
Lösen,Blekinge
Loshult,Kristianstads
Löt,Uppsala
Löt,Östergötlands
Löt,Kalmar
Lövånger,Västerbottens
Lovene,Skaraborgs
Lövestad,Skåne
Lovö,Stockholms
Lövsta bruksförsamling,Uppsala
Ludgo,Södermanlands
Ludvika,Dalarnas
Lugnås,Skaraborgs
Luleå domkyrkoförsamling,Norrbottens
Lummelunda,Gotlands
Lunda,Stockholms
Lunda,Södermanlands
Lundby,Västra Götalands
Lundby kbfd,Västra Götalands
Lunds Allhelgonaförsamling,Skåne
Lunds domkyrkoförsamling,Skåne
Lunds hospitalsförsamling,Skåne
Lunds landsförsamling,Skåne
Lunger,Västmanlands
Lungsund,Värmlands
Luntertun,Kristianstads
Lur,Västra Götalands
Luttra,Skaraborgs
Lyby,Skåne
Lycke,Västra Götalands
Lyckeby,Blekinge
Lycksele,Västerbottens
Lycksele kbfd,Västerbottens
Lye,Gotlands
Lyngby,Skåne
Lyngsjö,Kristianstads
Lyrestad,Skaraborgs
Lyse,Västra Götalands
Lysekil,Västra Götalands
Lysvik,Värmlands
Madesjö,Kalmar
Madesjö kbfd,Kalmar
Maglarp,Skåne
Maglehem,Kristianstads
Magra,Älvsborgs
Malå,Västerbottens
Malexander,Östergötlands
Målilla kbfd,Kalmar
Målilla med Gårdveda,Kalmar
Malingsbo,Dalarnas
Malma,Skaraborgs
Malma,Västmanlands
Malmbäck,Jönköpings
Malmberget,Norrbottens
Malmbergets kbfd,Norrbottens
Malmö garnisonsförsamling,Skåne
Malmö hospitalsförsamling,Skåne
Malmö Karoli,Skåne
Malmö katolska,Skåne
Malmö mosaiska,Skåne
Malmön,Västra Götalands
Malmö Övra,Skåne
Malmö Sankt Johannes,Skåne
Malmö Sankt Pauli,Skåne
Malmö Sankt Petri,Skåne
Malmö slottsförsamling,Skåne
Malmö tyska,Skåne
Malöga,Älvsborgs
Malsta,Stockholms
Malung,Dalarnas
Malung utom Tyngsjö,Dalarnas
Mangskog,Värmlands
Månsarp,Jönköpings
Månstad,Älvsborgs
Marbäck,Älvsborgs
Marbäck,Jönköpings
Marby,Jämtlands
Mårdaklev,Älvsborgs
Maria Magdalena,Stockholms
Marieberg,Västra Götalands
Marieby,Jämtlands
Mariefred,Södermanlands
Mariestad,Skaraborgs
Marka,Skaraborgs
Markaryd,Kronobergs
Markbygdens kbfd,Norrbottens
Markie,Skåne
Markim,Stockholms
Marstrand,Västra Götalands
Marstrands mosaiska,Västra Götalands
Marsvinsholm,Skåne
Martebo,Gotlands
Martin Luther,Hallands
Marum,Skaraborgs
Mästerby,Gotlands
Matteröd,Kristianstads
Matteus,Stockholms
Mattmar,Jämtlands
Medåker,Västmanlands
Medelplana,Skaraborgs
Mellan-Grevie,Skåne
Mellby,Skaraborgs
Mellby,Jönköpings
Mellösa,Södermanlands
Mikael,Örebro
Militärförsörjningsinrättningen,Stockholms
Militärkåren,Stockholms
Millesvik,Värmlands
Mistelås,Kronobergs
Misterhult,Kalmar
Misterhults norra kbfd,Kalmar
Misterhults södra kbfd,Kalmar
Mjäldrunga,Älvsborgs
Mjällby,Blekinge
Mjöbäck,Älvsborgs
Mjölby,Östergötlands
Mo,Västra Götalands
Mo,Älvsborgs
Mo,Skaraborgs
Mo,Gävleborgs
Mo,Västernorrlands
Mockfjärd,Dalarnas
Möckleby,Kalmar
Mofalla,Skaraborgs
Mogata,Östergötlands
Moheda,Kronobergs
Möja,Stockholms
Möklinta,Västmanlands
Molla,Älvsborgs
Mölleberga,Skåne
Möllevången,Skåne
Mollösund,Västra Götalands
Mölltorp,Skaraborgs
Mölndal,Västra Götalands
Möne,Älvsborgs
Mönsterås,Kalmar
Mora,Dalarnas
Mörarp,Skåne
Mörbylånga,Kalmar
Morjärvs kbfd,Norrbottens
Morkarla,Uppsala
Mörkö,Stockholms
Morlanda,Västra Götalands
Mörlunda,Kalmar
Mörrum,Blekinge
Mörsil,Jämtlands
Mortorp,Kalmar
Morup,Hallands
Mosaiska,Stockholms
Mosjö,Örebro
Mosseberg,Skaraborgs
Mossebo,Älvsborgs
Motala,Östergötlands
Mularp,Skaraborgs
Mulseryd,Jönköpings
Multrå,Västernorrlands
Munka-Ljungby,Kristianstads
Munkarp,Skåne
Munkfors,Värmlands
Munktorp,Västmanlands
Munsö,Stockholms
Muonionalusta,Norrbottens
Murum,Älvsborgs
Muskö,Stockholms
Mussla,Skaraborgs
Mustasäter,Älvsborgs
Myckleby,Västra Götalands
Myresjö,Jönköpings
Myssjö,Jämtlands
Nacka,Stockholms
Nackebo,Jönköpings
Naglum,Älvsborgs
Nämdö,Stockholms
När,Gotlands
Närtuna,Stockholms
Nårunga,Älvsborgs
Näs,Skaraborgs
Nås,Dalarnas
Näs,Jämtlands
Näs,Gotlands
Nasafjäll,Norrbottens
Näsby,Örebro
Näsby,Östergötlands
Näsby,Jönköpings
Näshult,Jönköpings
Näshulta,Södermanlands
Näsinge,Västra Götalands
Näskott,Jämtlands
Nässja,Östergötlands
Nässjö,Jönköpings
Näsum,Kristianstads
Nätra,Västernorrlands
Nattavaara kbfd,Norrbottens
Nättraby,Blekinge
Naum,Skaraborgs
Nävelsjö,Jönköpings
Naverstad,Västra Götalands
Nävlinge,Kristianstads
Nederkalix,Norrbottens
Nederluleå,Norrbottens
Nedertorneå-Haparanda,Norrbottens
Nedertorneå kbfd,Norrbottens
Nedraby,Kristianstads
Nedre Ullerud,Värmlands
Nevishög,Skåne
Nianfors,Gävleborgs
Nicolai,Västra Götalands
Nicolai,Södermanlands
Niilivaara kbfd,Norrbottens
Nikolai,Stockholms
Nikolai,Södermanlands
Nikolai kbfd,Södermanlands
Nikolaus,Skåne
Nikolaus,Skaraborgs
Nilivaara,Norrbottens
Nittorp,Älvsborgs
Njurunda,Västernorrlands
Njutånger,Gävleborgs
Nöbbele,Kronobergs
Nöbbelöv,Kristianstads
Nödinge,Älvsborgs
Nol-Alafors kbfd,Älvsborgs
Nor,Värmlands
Nora,Örebro
Nora,Västmanlands
Nora,Västernorrlands
Nora bergsförsamling,Örebro
Nora stadsförsamling,Örebro
Norberg,Västmanlands
Norderö,Jämtlands
Nordingrå,Västernorrlands
Nordmaling,Västerbottens
Nordmalings kbfd,Västerbottens
Nordmark,Värmlands
Noreby,Älvsborgs
Normlösa,Östergötlands
Norns bruksförsamling,Dalarnas
Norra Åkarp,Kristianstads
Norra Åsarp,Skaraborgs
Norra Åsum,Kristianstads
Norra bataljonsförsamlingen,Stockholms
Norra Björke,Älvsborgs
Norra correctionsinrättningen,Stockholms
Norra Fågelås,Skaraborgs
Norra Finnskoga,Värmlands
Norrahammar,Jönköpings
Norra Härene,Skaraborgs
Norra Hestra,Jönköpings
Norra Järva,Stockholms
Norra Kedum,Skaraborgs
Norra korrektionsinrättningen,Stockholms
Norra kronohäktet,Stockholms
Norra Kyrketorp,Skaraborgs
Norrala,Gävleborgs
Norra Lundby,Skaraborgs
Norra Mellby,Kristianstads
Norra Möckleby,Kalmar
Norra Nöbbelöv,Skåne
Norra Ny,Värmlands
Norra Råda,Värmlands
Norra Rörum,Skåne
Norra Rottne,Kronobergs
Norra Säm,Älvsborgs
Norra Sandby,Kristianstads
Norra Sandsjö,Jönköpings
Norra Sandsjö kbfd,Jönköpings
Norra Skrävlinge,Skåne
Norra Solberga,Jönköpings
Norra Strö,Kristianstads
Norra Unnaryd,Jönköpings
Norra Vånga,Skaraborgs
Norra Vi,Östergötlands
Norra Ving,Skaraborgs
Norra Vram,Skåne
Norrbärke,Dalarnas
Norrbo,Gävleborgs
Norrby,Västmanlands
Norrbyås,Örebro
Norrfjärden,Norrbottens
Norrfors kbfd,Västerbottens
Norrköpings Borg,Östergötlands
Norrköpings Hedvig,Östergötlands
Norrköpings Matteus,Östergötlands
Norrköpings mosaiska,Östergötlands
Norrköpings Östra Eneby,Östergötlands
Norrköpings reformerta,Östergötlands
Norrköpings Sankt Johannes,Östergötlands
Norrköpings Sankt Olai,Östergötlands
Norrköpings straff- och arbetsfängelse,Östergötlands
Norrlanda,Gotlands
Norrlands artilleriregemente,Jämtlands
Norrlands trängkår,Västernorrlands
Norrstrand,Värmlands
Norrsunda,Stockholms
Norrtälje,Stockholms
Norrvidinge,Skåne
Norsjö,Västerbottens
Norsjö kbfd,Västerbottens
Norska jägarkåren,Stockholms
Norum,Västra Götalands
Nosaby,Kristianstads
Nössemark,Älvsborgs
Nösslinge,Hallands
Nottebäck,Kronobergs
Nöttja,Kronobergs
Ny,Värmlands
Nya Älvsborg,Västra Götalands
Nya Falkenberg,Hallands
